 # Omega 1=    1.0000000000000000    
 # Environment =    1.0000000000000000      , Cutoff =   20.000000000000000     
 # Numero de oscilladores         2000
 # DispX=    0.0000000000000000      , Time =   200.00000000099999     
 # Datos: Gamma  DispX  DispP
   5.0000000745058060E-002  0.48540001382595921       0.58044129573856196     
  0.10000000149011612       0.47182333635693063       0.65841647584725660     
  0.15000000596046448       0.45915857678387911       0.73412644497158774     
  0.20000000298023224       0.44731048824079123       0.80774700947125166     
  0.25000000000000000       0.43619708244384747       0.87943301032872678     
  0.30000001192092896       0.42574735722587564       0.94932158389482291     
  0.34999999403953552       0.41589949283214434        1.0175347291311194     
  0.40000000596046448       0.40659935569735545        1.0841817070475637     
  0.45000001788139343       0.39779934881951134        1.1493605672553546     
  0.50000000000000000       0.38945742066691152        1.2131597619964833     
  0.55000001192092896       0.38153625061639340        1.2756595005080036     
  0.60000002384185791       0.37400261447776573        1.3369325679069741     
  0.65000003576278687       0.36682681004980305        1.3970453643251690     
  0.69999998807907104       0.35998220502175848        1.4560585511689319     
  0.75000000000000000       0.35344481223756596        1.5140279767297946     
  0.80000001192092896       0.34719300576806555        1.5710048092691362     
  0.85000002384185791       0.34120720430924772        1.6270362991567975     
  0.90000003576278687       0.33546963681021719        1.6821661239122094     
  0.94999998807907104       0.32996414025364840        1.7364346864531230       
